Parent1,Parent2,Replication,yieldf
18,13,1,42.21
19,13,1,57.42
20,13,1,54.56
21,13,1,51.69
22,13,1,57.09
23,13,1,44.81
24,13,1,55.3
25,13,1,49.89
1,14,1,48.12
2,14,1,49.9
3,14,1,56.86
4,14,1,60.88
5,14,1,54.74
6,14,1,60.29
7,14,1,49.76
8,14,1,52.59
9,14,1,64.3
10,14,1,47.09
11,14,1,35.44
12,14,1,39.38
13,14,1,45.7
14,14,1,51.53
15,14,1,47.19
16,14,1,51.32
17,14,1,53.5
18,14,1,57.56
19,14,1,49.98
20,14,1,50.44
21,14,1,42.43
22,14,1,52.2
23,14,1,49.34
24,14,1,47.83
25,14,1,52.3
1,15,1,50.47
2,15,1,40.94
3,15,1,52.26
4,15,1,55.48
5,15,1,50.93
6,15,1,57.57
7,15,1,58.46
8,15,1,56.73
9,15,1,45.07
10,15,1,58.76
11,15,1,45.37
12,15,1,50.16
13,15,1,48.77
14,15,1,53.02
15,15,1,52.49
16,15,1,47.85
17,15,1,51.29
18,15,1,45.17
19,15,1,54.68
20,15,1,49.09
21,15,1,63.98
22,15,1,44.14
23,15,1,50.58
24,15,1,57.53
25,15,1,56.45
1,16,1,43.15
2,16,1,46.62
3,16,1,55.82
4,16,1,55.53
5,16,1,47.15
6,16,1,56.77
7,16,1,58.05
8,16,1,58.47
9,16,1,52.82
10,16,1,48.98
11,16,1,53.99
12,16,1,49.88
13,16,1,42.42
14,16,1,46.42
15,16,1,50.83
16,16,1,46.36
17,16,1,39.31
18,16,1,55.02
19,16,1,46.95
20,16,1,49.23
21,16,1,60.12
22,16,1,49.23
23,16,1,57.83
24,16,1,47.8
25,16,1,52.83
1,17,1,46.43
2,17,1,46.46
3,17,1,52.63
4,17,1,56.16
5,17,1,60.15
6,17,1,49.05
7,17,1,56.05
8,17,1,62.08
9,17,1,56.11
10,17,1,48.44
11,17,1,50.26
12,17,1,49.64
13,17,1,52.07
14,17,1,48.69
15,17,1,47.73
16,17,1,37.08
17,17,1,50.34
18,17,1,53.45
19,17,1,54.48
20,17,1,50.02
21,17,1,62.2
22,17,1,55.23
23,17,1,54.93
24,17,1,61.16
25,17,1,51.71
1,18,1,45.25
2,18,1,64.99
3,18,1,56.56
4,18,1,65.17
5,18,1,50.31
6,18,1,57.05
7,18,1,60.39
8,18,1,60.5
9,18,1,54.47
10,18,1,48.1
11,18,1,43.11
12,18,1,52.56
13,18,1,54.92
14,18,1,38.88
15,18,1,56.68
16,18,1,44.79
17,18,1,53.77
18,18,1,55.3
19,18,1,51.5
20,18,1,50.27
21,18,1,54.83
22,18,1,56.69
23,18,1,59.42
24,18,1,45.24
25,18,1,47.82
1,19,1,55.35
2,19,1,58.93
3,19,1,59.38
4,19,1,61.28
5,19,1,62.79
6,19,1,45.4
7,19,1,64.75
8,19,1,57.28
9,19,1,61.35
10,19,1,47.22
11,19,1,53.56
12,19,1,47.96
13,19,1,52.79
14,19,1,48.75
15,19,1,45.74
16,19,1,57.75
17,19,1,55.9
18,19,1,61.32
19,19,1,53.53
20,19,1,59.83
21,19,1,64.58
22,19,1,53.79
23,19,1,49.09
24,19,1,55
25,19,1,55.63
1,20,1,50.36
2,20,1,63.66
3,20,1,56.97
4,20,1,60.97
5,20,1,58.46
6,20,1,60.2
7,20,1,62.17
8,20,1,67.74
9,20,1,62.21
10,20,1,53.66
11,20,1,54.49
12,20,1,55.67
13,20,1,48.73
14,20,1,60.23
15,20,1,50.7
16,20,1,52.57
17,20,1,60.62
18,20,1,60.57
19,20,1,49.15
20,20,1,51.23
21,20,1,49.31
22,20,1,57.51
23,20,1,57.92
24,20,1,59.42
25,20,1,60.86
1,21,1,47.29
2,21,1,50.83
3,21,1,64.43
4,21,1,63.56
5,21,1,52.75
6,21,1,60.32
7,21,1,56.82
8,21,1,51.45
9,21,1,63.05
10,21,1,50.4
11,21,1,50.81
12,21,1,52.88
13,21,1,56.71
14,21,1,53.83
15,21,1,50.22
16,21,1,50.13
17,21,1,53.64
18,21,1,56.35
19,21,1,50.1
20,21,1,55.38
21,21,1,61.64
22,21,1,56.76
23,21,1,54.31
24,21,1,56.92
25,21,1,64.37
1,22,1,53.75
2,22,1,62.68
3,22,1,60.7
4,22,1,62.55
5,22,1,58.21
6,22,1,64.53
7,22,1,59.47
8,22,1,55.4
9,22,1,63.64
10,22,1,61.23
11,22,1,56
12,22,1,58.33
13,22,1,54.79
14,22,1,50.46
15,22,1,52.99
16,22,1,53.13
17,22,1,52.66
18,22,1,59.02
19,22,1,50.01
20,22,1,61.33
21,22,1,61.82
22,22,1,52.01
23,22,1,61.7
24,22,1,71.15
25,22,1,56.71
1,23,1,55.92
2,23,1,53.29
3,23,1,66.25
4,23,1,62.45
5,23,1,69.96
6,23,1,54.91
7,23,1,62.44
8,23,1,60.57
9,23,1,62.71
10,23,1,49.05
11,23,1,48.53
12,23,1,56.09
13,23,1,48.26
14,23,1,61.62
15,23,1,48.77
16,23,1,55.71
17,23,1,58.36
18,23,1,59.13
19,23,1,55.19
20,23,1,58.1
21,23,1,63.01
22,23,1,51.42
23,23,1,55.29
24,23,1,61.3
25,23,1,57.98
1,24,1,59.25
2,24,1,61.27
3,24,1,61.76
4,24,1,54.36
5,24,1,62.53
6,24,1,61.32
7,24,1,62.89
8,24,1,57.99
9,24,1,66.89
10,24,1,47.71
11,24,1,52.27
12,24,1,55.81
13,24,1,50.48
14,24,1,57.81
15,24,1,48.82
16,24,1,41.85
17,24,1,58.72
18,24,1,61.1
19,24,1,55.97
20,24,1,60.92
21,24,1,53.12
22,24,1,58.76
23,24,1,50.19
24,24,1,66.31
25,24,1,70.2
1,25,1,58.47
2,25,1,58.46
3,25,1,61.93
4,25,1,55.02
5,25,1,67.05
6,25,1,62.55
7,25,1,60.82
8,25,1,57.54
9,25,1,63.6
10,25,1,49.35
11,25,1,52.11
12,25,1,48.51
13,25,1,63.54
14,25,1,55.52
15,25,1,61.47
16,25,1,43.59
17,25,1,54.83
18,25,1,54.22
19,25,1,51.99
20,25,1,66.83
21,25,1,52.52
22,25,1,61.69
23,25,1,64.83
24,25,1,61.99
25,25,1,57.22
1,1,2,45.91
2,1,2,47.55
3,1,2,44.88
4,1,2,43.76
5,1,2,61.63
6,1,2,48.31
7,1,2,42.92
8,1,2,55.37
9,1,2,54.75
10,1,2,34.93
11,1,2,32.49
12,1,2,42.12
13,1,2,48.9
14,1,2,46.88
15,1,2,41.74
16,1,2,40.53
17,1,2,46.56
18,1,2,46.49
19,1,2,49.35
20,1,2,45.22
21,1,2,52.2
22,1,2,44.05
23,1,2,47.05
24,1,2,52.9
25,1,2,54.65
1,2,2,39.21
2,2,2,54.94
3,2,2,60.94
4,2,2,51.15
5,2,2,61.3
6,2,2,55.26
7,2,2,65
8,2,2,63.09
9,2,2,64.75
10,2,2,50
11,2,2,54.22
12,2,2,57.3
13,2,2,60.73
14,2,2,51.26
15,2,2,40.65
16,2,2,52.56
17,2,2,53.93
18,2,2,52.62
19,2,2,56.74
20,2,2,59.95
21,2,2,52.81
22,2,2,54.43
23,2,2,58.39
24,2,2,54.15
25,2,2,57.86
1,3,2,43.99
2,3,2,53.7
3,3,2,56.16
4,3,2,59.03
5,3,2,60.33
6,3,2,66.21
7,3,2,69.71
8,3,2,61.66
9,3,2,60.82
10,3,2,49.09
11,3,2,52.73
12,3,2,54.1
13,3,2,58.22
14,3,2,54.69
15,3,2,46.41
16,3,2,56.84
17,3,2,63.74
18,3,2,64.26
19,3,2,54.86
20,3,2,52.06
21,3,2,72.59
22,3,2,59.99
23,3,2,60.81
24,3,2,63.9
25,3,2,54.23
1,4,2,50.86
2,4,2,52.3
3,4,2,60.03
4,4,2,64.59
5,4,2,57.68
6,4,2,67.95
7,4,2,66.95
8,4,2,61.48
9,4,2,67.63
10,4,2,58.74
11,4,2,60.81
12,4,2,54.94
13,4,2,56.03
14,4,2,56.57
15,4,2,64.71
16,4,2,63.63
17,4,2,62.67
18,4,2,57.56
19,4,2,61.37
20,4,2,62.52
21,4,2,55.79
22,4,2,52.86
23,4,2,65.21
24,4,2,54.85
25,4,2,63.01
1,5,2,56.45
2,5,2,63.52
3,5,2,65.15
4,5,2,61.04
5,5,2,70.13
6,5,2,74.39
7,5,2,70.61
8,5,2,56.98
9,5,2,74.2
10,5,2,55.42
11,5,2,58.82
12,5,2,59.81
13,5,2,56.72
14,5,2,57.32
15,5,2,63.3
16,5,2,62.26
17,5,2,64.15
18,5,2,71.61
19,5,2,63.52
20,5,2,62.24
21,5,2,50.65
22,5,2,75.66
23,5,2,60.29
24,5,2,75.07
25,5,2,65.57
1,6,2,63.59
2,6,2,60.85
3,6,2,67.46
4,6,2,66.47
5,6,2,64.97
6,6,2,65.8
7,6,2,71.96
8,6,2,66.39
9,6,2,57.71
10,6,2,55.42
11,6,2,59.6
12,6,2,60.48
13,6,2,60.98
14,6,2,49.94
15,6,2,60.74
16,6,2,64.24
17,6,2,66.28
18,6,2,59.28
19,6,2,59.29
20,6,2,69.34
21,6,2,54.06
22,6,2,60.72
23,6,2,65.69
24,6,2,55.81
25,6,2,65.8
1,7,2,65.99
2,7,2,62.08
3,7,2,64.21
4,7,2,68.47
5,7,2,65.2
6,7,2,71.17
7,7,2,72.12
8,7,2,68.11
9,7,2,62.72
10,7,2,50.51
11,7,2,54.64
12,7,2,62.09
13,7,2,48.81
14,7,2,49.67
15,7,2,56.33
16,7,2,62.07
17,7,2,56.03
18,7,2,65.53
19,7,2,63.27
20,7,2,61.75
21,7,2,67.19
22,7,2,65.54
23,7,2,61.87
24,7,2,65.76
25,7,2,68.34
1,8,2,59.08
2,8,2,59.51
3,8,2,70.58
4,8,2,72.56
5,8,2,68.68
6,8,2,68.52
7,8,2,67.92
8,8,2,79.61
9,8,2,70.68
10,8,2,57.01
11,8,2,45.76
12,8,2,50.97
13,8,2,58.91
14,8,2,60.83
15,8,2,61.68
16,8,2,64.91
17,8,2,60.33
18,8,2,67.87
19,8,2,57.69
20,8,2,57.26
21,8,2,57.66
22,8,2,68.01
23,8,2,64.39
24,8,2,69.25
25,8,2,64.46
1,9,2,55.04
2,9,2,61.66
3,9,2,57.74
4,9,2,61.65
5,9,2,60.79
6,9,2,73.77
7,9,2,66.01
8,9,2,73.45
9,9,2,77.58
10,9,2,57.54
11,9,2,60.42
12,9,2,50.74
13,9,2,55.91
14,9,2,60.78
15,9,2,62.5
16,9,2,57.7
17,9,2,75.42
18,9,2,60.21
19,9,2,63.32
20,9,2,67.25
21,9,2,64.37
22,9,2,61.78
23,9,2,70.73
24,9,2,74.08
25,9,2,66.35
1,10,2,44.71
2,10,2,46.91
3,10,2,55.98
4,10,2,45.62
5,10,2,63.5
6,10,2,49.38
7,10,2,45.61
8,10,2,51.65
9,10,2,54.63
10,10,2,50.52
11,10,2,47.46
12,10,2,44.11
13,10,2,36.95
14,10,2,40.07
15,10,2,44.08
16,10,2,58.17
17,10,2,36.6
18,10,2,52.06
19,10,2,44.26
20,10,2,56.23
21,10,2,42.7
22,10,2,49.62
23,10,2,43.9
24,10,2,54.42
25,10,2,57.82
1,11,2,52.35
2,11,2,52.09
3,11,2,60.82
4,11,2,58.33
5,11,2,51.94
6,11,2,55.49
7,11,2,48.74
8,11,2,53.17
9,11,2,60.7
10,11,2,45.81
11,11,2,45.89
12,11,2,38.91
13,11,2,41.58
14,11,2,41.28
15,11,2,47.58
16,11,2,41.15
17,11,2,49.41
18,11,2,41.52
19,11,2,56.74
20,11,2,50.9
21,11,2,45.59
22,11,2,50.81
23,11,2,48.34
24,11,2,52.46
25,11,2,52.32
1,12,2,38.23
2,12,2,44.84
3,12,2,53.8
4,12,2,61
5,12,2,58.72
6,12,2,50.68
7,12,2,58.43
8,12,2,54.56
9,12,2,56.81
10,12,2,45.1
11,12,2,57.18
12,12,2,38.87
13,12,2,45.8
14,12,2,36.9
15,12,2,49.25
16,12,2,52.28
17,12,2,54.53
18,12,2,38.17
19,12,2,50.36
20,12,2,57.27
21,12,2,47.73
22,12,2,49.24
23,12,2,50.62
24,12,2,53.13
25,12,2,55.13
1,13,2,50.59
2,13,2,49.02
3,13,2,53.98
4,13,2,65.94
5,13,2,56.16
6,13,2,55.44
7,13,2,48.29
8,13,2,55.51
9,13,2,54.89
10,13,2,44.44
11,13,2,42.12
12,13,2,42.07
13,13,2,42.4
14,13,2,45.43
15,13,2,53.84
16,13,2,52.75
17,13,2,46.2
18,13,2,40.07
19,13,2,44.78
20,13,2,47.71
21,13,2,51.02
22,13,2,47.69
23,13,2,61.53
24,13,2,50.64
25,13,2,46.43
1,14,2,43.99
2,14,2,45.17
3,14,2,54.48
4,14,2,55.37
5,14,2,56.48
6,14,2,47.09
7,14,2,56.8
8,14,2,57.75
9,14,2,49.59
10,14,2,49.98
11,14,2,49.62
12,14,2,57.7
13,14,2,47.48
14,14,2,47.43
15,14,2,48.18
16,14,2,48.55
17,14,2,39.46
18,14,2,40.84
19,14,2,49.31
20,14,2,47.79
21,14,2,51.47
22,14,2,41.14
23,14,2,44.71
24,14,2,47.19
25,14,2,58.13
1,15,2,39.91
2,15,2,46.9
3,15,2,54.8
4,15,2,53.29
5,15,2,56.13
6,15,2,67.43
7,15,2,50.78
8,15,2,55.37
9,15,2,54.82
10,15,2,53.46
11,15,2,42.55
12,15,2,46.49
13,15,2,51.34
14,15,2,42.61
15,15,2,56.68
16,15,2,52.28
17,15,2,44.03
18,15,2,52.17
19,15,2,49.33
20,15,2,52.97
21,15,2,51.45
22,15,2,57.75
23,15,2,46.14
24,15,2,50.79
25,15,2,52.65
1,16,2,41.12
2,16,2,46.4
3,16,2,55.01
4,16,2,54.94
5,16,2,43.35
6,16,2,61.8
7,16,2,58.35
8,16,2,69.68
9,16,2,61.53
10,16,2,44.37
11,16,2,61.09
12,16,2,61.76
13,16,2,42.01
14,16,2,50.95
15,16,2,48.04
16,16,2,50.54
17,16,2,51.24
18,16,2,44.29
19,16,2,52.53
20,16,2,60.85
21,16,2,51.78
22,16,2,52.29
23,16,2,60.59
24,16,2,58.59
25,16,2,46.36
1,17,2,47.94
2,17,2,60.57
3,17,2,62.88
4,17,2,58.4
5,17,2,60.41
6,17,2,51.32
7,17,2,59.3
8,17,2,53.53
9,17,2,56.51
10,17,2,51.98
11,17,2,42.12
12,17,2,49.63
13,17,2,50.94
14,17,2,49.57
15,17,2,58.91
16,17,2,45.19
17,17,2,53.83
18,17,2,50.86
19,17,2,50.5
20,17,2,55.12
21,17,2,48.2
22,17,2,47.23
23,17,2,51.83
24,17,2,63.56
25,17,2,55.58
1,18,2,49.16
2,18,2,52.05
3,18,2,58.85
4,18,2,52.24
5,18,2,63.29
6,18,2,60.92
7,18,2,54.47
8,18,2,59.27
9,18,2,63.08
10,18,2,50.79
11,18,2,55.91
12,18,2,45.94
13,18,2,55.08
14,18,2,55.18
15,18,2,49.69
16,18,2,46.12
17,18,2,46.05
18,18,2,54.29
19,18,2,52.14
20,18,2,62.4
21,18,2,56.68
22,18,2,52.64
23,18,2,49.87
24,18,2,52.59
25,18,2,57.71
1,19,2,45.95
2,19,2,56.27
3,19,2,55.53
4,19,2,57.17
5,19,2,54.55
6,19,2,68.23
7,19,2,60.86
8,19,2,60.85
9,19,2,51.74
10,19,2,52
11,19,2,44.08
12,19,2,45.24
13,19,2,54.79
14,19,2,48.44
15,19,2,42.46
16,19,2,60.55
17,19,2,40.31
18,19,2,55.56
19,19,2,58.29
20,19,2,51.05
21,19,2,56.92
22,19,2,57.4
23,19,2,60.9
24,19,2,58.62
25,19,2,55.48
1,20,2,54.18
2,20,2,59.1
3,20,2,53.92
4,20,2,52.1
5,20,2,60.4
6,20,2,58.73
7,20,2,55.67
8,20,2,61.52
9,20,2,55
10,20,2,50.91
11,20,2,47.48
12,20,2,55.89
13,20,2,63.72
14,20,2,47.52
15,20,2,57.89
16,20,2,57.23
17,20,2,53.25
18,20,2,51.83
19,20,2,62.48
20,20,2,45.57
21,20,2,52.88
22,20,2,49.42
23,20,2,64.08
24,20,2,56.65
25,20,2,55.48
1,21,2,66.22
2,21,2,55.55
3,21,2,57.08
4,21,2,61.3
5,21,2,52.46
6,21,2,63.25
7,21,2,60.82
8,21,2,64.14
9,21,2,57.39
10,21,2,45.69
11,21,2,47.83
12,21,2,47.96
13,21,2,58.8
14,21,2,60.7
15,21,2,52.52
16,21,2,52.01
17,21,2,52.65
18,21,2,55.15
19,21,2,55.78
20,21,2,57.75
21,21,2,53.07
22,21,2,53.07
23,21,2,63.79
24,21,2,55.56
25,21,2,60.32
1,22,2,50.72
2,22,2,51.71
3,22,2,62.96
4,22,2,61.37
5,22,2,68
6,22,2,62.09
7,22,2,60.34
8,22,2,63.89
9,22,2,57.07
10,22,2,47.32
11,22,2,54.55
12,22,2,50.83
13,22,2,52.67
14,22,2,52.92
15,22,2,50.75
16,22,2,44.41
17,22,2,56.74
18,22,2,59.31
19,22,2,49.56
20,22,2,64.41
21,22,2,59.43
22,22,2,64.71
23,22,2,53.71
24,22,2,59.83
25,22,2,59
1,23,2,55.54
2,23,2,54.32
3,23,2,60.65
4,23,2,52.31
5,23,2,57.81
6,23,2,62.83
7,23,2,59.17
8,23,2,62.98
9,23,2,61.36
10,23,2,55.23
11,23,2,58.54
12,23,2,49.09
13,23,2,52.16
14,23,2,61.4
15,23,2,43.71
16,23,2,53.6
17,23,2,66.02
18,23,2,67.17
19,23,2,57.48
20,23,2,53.38
21,23,2,59.03
22,23,2,55.44
23,23,2,66.46
24,23,2,55.67
25,23,2,62.06
1,24,2,55.5
2,24,2,54.11
3,24,2,65.66
4,24,2,58.16
5,24,2,65.55
6,24,2,68.38
7,24,2,58.46
8,24,2,69.44
9,24,2,61.95
10,24,2,54.37
11,24,2,54.41
12,24,2,51.76
13,24,2,55.74
14,24,2,48.75
15,24,2,54.72
16,24,2,60.03
17,24,2,45.53
18,24,2,49.46
19,24,2,51.59
20,24,2,50.45
21,24,2,61
22,24,2,54.44
23,24,2,49.08
24,24,2,57.21
25,24,2,58.95
1,25,2,57.38
2,25,2,53.08
3,25,2,67.91
4,25,2,64.59
5,25,2,64.91
6,25,2,59.34
7,25,2,73.87
8,25,2,63.78
9,25,2,55.98
10,25,2,52.58
11,25,2,44.43
12,25,2,53.05
13,25,2,52.99
14,25,2,59.01
15,25,2,61.15
16,25,2,52.97
17,25,2,61.13
18,25,2,64.72
19,25,2,54.18
20,25,2,55.84
21,25,2,62.85
22,25,2,61.02
23,25,2,63.34
24,25,2,68.12
25,25,2,63.54
