Replication,Variety,Nitrogen,Phosphorus,Yield
3,V08,N0,P1,52.14
1,V08,N1,P0,53.39
2,V08,N1,P0,58.83
3,V08,N1,P0,56.36
1,V08,N1,P1,70.64
2,V08,N1,P1,69.8
3,V08,N1,P1,67.88
1,V08,N2,P0,68.18
2,V08,N2,P0,65.84
3,V08,N2,P0,69.58
1,V08,N2,P1,86.14
2,V08,N2,P1,83.89
3,V08,N2,P1,78.78
1,V09,N0,P0,33.85
2,V09,N0,P0,34.59
3,V09,N0,P0,30.15
1,V09,N0,P1,45.78
2,V09,N0,P1,45.45
3,V09,N0,P1,41.24
1,V09,N1,P0,48.5
2,V09,N1,P0,49.21
3,V09,N1,P0,51.03
1,V09,N1,P1,61.93
2,V09,N1,P1,53.42
3,V09,N1,P1,54.96
1,V09,N2,P0,60.05
2,V09,N2,P0,60.04
3,V09,N2,P0,60.05
1,V09,N2,P1,83.73
2,V09,N2,P1,72.24
3,V09,N2,P1,74.22
1,V10,N0,P0,44.68
2,V10,N0,P0,43.62
3,V10,N0,P0,40.24
1,V10,N0,P1,56.0
2,V10,N0,P1,50.64
3,V10,N0,P1,52.51
1,V10,N1,P0,53.64
2,V10,N1,P0,55.63
3,V10,N1,P0,63.44
1,V10,N1,P1,59.81
2,V10,N1,P1,68.74
3,V10,N1,P1,60.7
1,V10,N2,P0,64.69
2,V10,N2,P0,70.15
3,V10,N2,P0,66.57
1,V10,N2,P1,74.57
2,V10,N2,P1,75.84
3,V10,N2,P1,80.72
1,V11,N0,P0,30.74
2,V11,N0,P0,34.05
3,V11,N0,P0,33.45
1,V11,N0,P1,43.01
2,V11,N0,P1,52.8
3,V11,N0,P1,47.51
1,V11,N1,P0,40.2
2,V11,N1,P0,47.95
3,V11,N1,P0,44.98
1,V11,N1,P1,61.28
2,V11,N1,P1,55.52
3,V11,N1,P1,57.89
1,V11,N2,P0,60.06
2,V11,N2,P0,61.32
3,V11,N2,P0,54.09
1,V11,N2,P1,69.12
2,V11,N2,P1,68.63
3,V11,N2,P1,68.01
1,V12,N0,P0,39.45
2,V12,N0,P0,34.69
3,V12,N0,P0,28.86
1,V12,N0,P1,48.49
2,V12,N0,P1,52.7
3,V12,N0,P1,48.89
1,V12,N1,P0,41.96
2,V12,N1,P0,45.58
3,V12,N1,P0,51.71
1,V12,N1,P1,55.8
2,V12,N1,P1,59.83
3,V12,N1,P1,60.99
1,V12,N2,P0,55.03
2,V12,N2,P0,58.07
3,V12,N2,P0,46.93
1,V12,N2,P1,66.69
2,V12,N2,P1,69.39
3,V12,N2,P1,65.91
1,V13,N0,P0,44.65
2,V13,N0,P0,33.93
3,V13,N0,P0,37.4
1,V13,N0,P1,51.39
2,V13,N0,P1,55.98
3,V13,N0,P1,45.91
1,V13,N1,P0,57.01
2,V13,N1,P0,52.97
3,V13,N1,P0,49.5
1,V13,N1,P1,65.55
2,V13,N1,P1,64.63
3,V13,N1,P1,61.83
1,V13,N2,P0,64.18
2,V13,N2,P0,62.59
3,V13,N2,P0,64.33
1,V13,N2,P1,78.25
2,V13,N2,P1,81.49
3,V13,N2,P1,71.6
1,V14,N0,P0,29.16
2,V14,N0,P0,14.86
3,V14,N0,P0,21.16
1,V14,N0,P1,35.75
2,V14,N0,P1,34.68
3,V14,N0,P1,31.51
1,V14,N1,P0,34.97
2,V14,N1,P0,33.97
3,V14,N1,P0,33.63
1,V14,N1,P1,49.67
2,V14,N1,P1,47.94
3,V14,N1,P1,44.27
1,V14,N2,P0,49.84
2,V14,N2,P0,47.77
3,V14,N2,P0,49.54
1,V14,N2,P1,60.9
2,V14,N2,P1,55.79
3,V14,N2,P1,56.73
1,V15,N0,P0,25.82
2,V15,N0,P0,25.34
3,V15,N0,P0,23.13
1,V15,N0,P1,35.61
2,V15,N0,P1,39.67
3,V15,N0,P1,33.13
1,V15,N1,P0,39.12
2,V15,N1,P0,36.49
3,V15,N1,P0,36.44
1,V15,N1,P1,52.05
2,V15,N1,P1,51.09
3,V15,N1,P1,51.05
1,V15,N2,P0,52.77
2,V15,N2,P0,48.27
3,V15,N2,P0,50.59
1,V15,N2,P1,59.11
2,V15,N2,P1,61.34
3,V15,N2,P1,59.75
1,V16,N0,P0,32.84
2,V16,N0,P0,34.58
3,V16,N0,P0,29.64
1,V16,N0,P1,51.83
2,V16,N0,P1,40.98
3,V16,N0,P1,40.25
1,V16,N1,P0,50.56
2,V16,N1,P0,49.27
3,V16,N1,P0,48.69
1,V16,N1,P1,59.7
2,V16,N1,P1,57.46
3,V16,N1,P1,54.36
1,V16,N2,P0,57.77
2,V16,N2,P0,55.13
3,V16,N2,P0,60.91
1,V16,N2,P1,68.99
2,V16,N2,P1,66.61
3,V16,N2,P1,68.38
1,V17,N0,P0,30.34
2,V17,N0,P0,26.92
3,V17,N0,P0,26.02
1,V17,N0,P1,41.75
2,V17,N0,P1,41.75
3,V17,N0,P1,39.12
1,V17,N1,P0,41.25
2,V17,N1,P0,43.71
3,V17,N1,P0,37.83
1,V17,N1,P1,48.97
2,V17,N1,P1,51.38
3,V17,N1,P1,53.15
1,V17,N2,P0,54.99
2,V17,N2,P0,59.06
3,V17,N2,P0,56.9
1,V17,N2,P1,65.34
2,V17,N2,P1,65.83
3,V17,N2,P1,62.39
1,V18,N0,P0,39.45
2,V18,N0,P0,38.5
3,V18,N0,P0,40.64
1,V18,N0,P1,48.62
2,V18,N0,P1,53.33
3,V18,N0,P1,56.88
1,V18,N1,P0,53.13
2,V18,N1,P0,54.92
3,V18,N1,P0,55.93
1,V18,N1,P1,63.11
2,V18,N1,P1,65.3
3,V18,N1,P1,64.56
1,V18,N2,P0,64.86
2,V18,N2,P0,61.81
3,V18,N2,P0,64.6
1,V18,N2,P1,78.26
2,V18,N2,P1,81.59
3,V18,N2,P1,79.87
1,V19,N0,P0,37.27
2,V19,N0,P0,27.05
3,V19,N0,P0,32.79
1,V19,N0,P1,42.38
2,V19,N0,P1,49.4
3,V19,N0,P1,38.91
1,V19,N1,P0,40.8
2,V19,N1,P0,41.64
3,V19,N1,P0,36.3
1,V19,N1,P1,52.9
2,V19,N1,P1,52.08
3,V19,N1,P1,55.26
1,V19,N2,P0,55.93
2,V19,N2,P0,61.3
3,V19,N2,P0,58.06
1,V19,N2,P1,64.72
2,V19,N2,P1,63.59
3,V19,N2,P1,68.46
1,V20,N0,P0,21.08
2,V20,N0,P0,32.11
3,V20,N0,P0,29.83
1,V20,N0,P1,36.06
2,V20,N0,P1,31.71
3,V20,N0,P1,42.44
1,V20,N1,P0,39.3
2,V20,N1,P0,44.03
3,V20,N1,P0,34.12
1,V20,N1,P1,48.6
2,V20,N1,P1,50.72
3,V20,N1,P1,50.87
1,V20,N2,P0,49.13
2,V20,N2,P0,52.88
3,V20,N2,P0,46.96
1,V20,N2,P1,62.2
2,V20,N2,P1,63.12
3,V20,N2,P1,64.5
1,V21,N0,P0,51.22
2,V21,N0,P0,44.79
3,V21,N0,P0,43.36
1,V21,N0,P1,65.2
2,V21,N0,P1,61.89
3,V21,N0,P1,58.11
1,V21,N1,P0,68.15
2,V21,N1,P0,63.13
3,V21,N1,P0,66.85
1,V21,N1,P1,73.96
2,V21,N1,P1,80.94
3,V21,N1,P1,79.87
1,V21,N2,P0,75.85
2,V21,N2,P0,80.13
3,V21,N2,P0,78.98
1,V21,N2,P1,93.52
2,V21,N2,P1,85.35
3,V21,N2,P1,91.13
1,V22,N0,P0,38.9
2,V22,N0,P0,29.04
3,V22,N0,P0,31.05
1,V22,N0,P1,40.06
2,V22,N0,P1,46.25
3,V22,N0,P1,49.71
1,V22,N1,P0,54.45
2,V22,N1,P0,49.45
3,V22,N1,P0,54.89
1,V22,N1,P1,55.36
2,V22,N1,P1,54.23
3,V22,N1,P1,60.0
1,V22,N2,P0,61.54
2,V22,N2,P0,60.08
3,V22,N2,P0,52.96
1,V22,N2,P1,71.88
2,V22,N2,P1,67.63
3,V22,N2,P1,74.54
1,V23,N0,P0,38.82
2,V23,N0,P0,34.25
3,V23,N0,P0,35.74
1,V23,N0,P1,45.83
2,V23,N0,P1,49.32
3,V23,N0,P1,52.88
1,V23,N1,P0,48.09
2,V23,N1,P0,53.3
3,V23,N1,P0,49.68
1,V23,N1,P1,59.77
2,V23,N1,P1,62.17
3,V23,N1,P1,58.92
1,V23,N2,P0,60.6
2,V23,N2,P0,58.35
3,V23,N2,P0,69.42
1,V23,N2,P1,74.66
2,V23,N2,P1,72.09
3,V23,N2,P1,75.29
1,V24,N0,P0,25.21
2,V24,N0,P0,24.83
3,V24,N0,P0,27.75
1,V24,N0,P1,40.25
2,V24,N0,P1,35.75
3,V24,N0,P1,35.59
1,V24,N1,P0,38.64
2,V24,N1,P0,31.55
3,V24,N1,P0,34.3
1,V24,N1,P1,55.39
2,V24,N1,P1,56.36
3,V24,N1,P1,49.73
1,V24,N2,P0,52.62
2,V24,N2,P0,51.69
3,V24,N2,P0,61.38
1,V24,N2,P1,66.52
2,V24,N2,P1,62.15
3,V24,N2,P1,59.26
1,V25,N0,P0,27.02
2,V25,N0,P0,33.36
3,V25,N0,P0,30.0
1,V25,N0,P1,39.67
2,V25,N0,P1,42.38
3,V25,N0,P1,40.86
1,V25,N1,P0,52.55
2,V25,N1,P0,49.73
3,V25,N1,P0,46.62
1,V25,N1,P1,62.82
2,V25,N1,P1,57.92
3,V25,N1,P1,54.63
1,V25,N2,P0,62.98
2,V25,N2,P0,59.53
3,V25,N2,P0,54.01
1,V25,N2,P1,68.98
2,V25,N2,P1,66.58
3,V25,N2,P1,64.81
1,V26,N0,P0,41.13
2,V26,N0,P0,44.57
3,V26,N0,P0,32.99
1,V26,N0,P1,51.86
2,V26,N0,P1,47.61
3,V26,N0,P1,48.18
1,V26,N1,P0,49.81
2,V26,N1,P0,48.86
3,V26,N1,P0,52.06
1,V26,N1,P1,59.98
2,V26,N1,P1,63.83
3,V26,N1,P1,62.71
1,V26,N2,P0,62.05
2,V26,N2,P0,59.71
3,V26,N2,P0,60.87
1,V26,N2,P1,77.53
2,V26,N2,P1,76.64
3,V26,N2,P1,71.47
1,V27,N0,P0,28.14
2,V27,N0,P0,30.42
3,V27,N0,P0,21.95
1,V27,N0,P1,41.69
2,V27,N0,P1,37.47
3,V27,N0,P1,41.79
1,V27,N1,P0,39.12
2,V27,N1,P0,35.47
3,V27,N1,P0,36.1
1,V27,N1,P1,52.96
2,V27,N1,P1,53.7
3,V27,N1,P1,49.63
1,V27,N2,P0,55.03
2,V27,N2,P0,46.98
3,V27,N2,P0,52.56
1,V27,N2,P1,60.55
2,V27,N2,P1,62.51
3,V27,N2,P1,64.96
1,V28,N0,P0,36.99
2,V28,N0,P0,38.66
3,V28,N0,P0,43.53
1,V28,N0,P1,49.99
2,V28,N0,P1,54.93
3,V28,N0,P1,48.05
1,V28,N1,P0,55.86
2,V28,N1,P0,59.05
3,V28,N1,P0,45.35
1,V28,N1,P1,62.22
2,V28,N1,P1,67.03
3,V28,N1,P1,64.29
1,V28,N2,P0,66.3
2,V28,N2,P0,62.89
3,V28,N2,P0,65.31
1,V28,N2,P1,76.46
2,V28,N2,P1,81.09
3,V28,N2,P1,77.9
1,V29,N0,P0,33.38
2,V29,N0,P0,30.75
3,V29,N0,P0,30.49
1,V29,N0,P1,42.68
2,V29,N0,P1,45.58
3,V29,N0,P1,42.72
1,V29,N1,P0,47.21
2,V29,N1,P0,53.46
3,V29,N1,P0,49.24
1,V29,N1,P1,56.05
2,V29,N1,P1,61.4
3,V29,N1,P1,55.77
1,V29,N2,P0,50.06
2,V29,N2,P0,53.67
3,V29,N2,P0,50.65
1,V29,N2,P1,67.96
2,V29,N2,P1,69.26
3,V29,N2,P1,75.06
1,V30,N0,P0,35.81
2,V30,N0,P0,33.9
3,V30,N0,P0,37.57
1,V30,N0,P1,38.93
2,V30,N0,P1,47.49
3,V30,N0,P1,49.36
1,V30,N1,P0,43.49
2,V30,N1,P0,52.67
3,V30,N1,P0,49.85
1,V30,N1,P1,58.21
2,V30,N1,P1,61.88
3,V30,N1,P1,67.61
1,V30,N2,P0,60.3
2,V30,N2,P0,60.54
3,V30,N2,P0,58.06
1,V30,N2,P1,68.69
2,V30,N2,P1,74.57
3,V30,N2,P1,68.67
1,V31,N0,P0,32.44
2,V31,N0,P0,30.51
3,V31,N0,P0,33.86
1,V31,N0,P1,45.35
2,V31,N0,P1,47.82
3,V31,N0,P1,42.4
1,V31,N1,P0,45.24
2,V31,N1,P0,42.76
3,V31,N1,P0,44.63
1,V31,N1,P1,58.51
2,V31,N1,P1,59.84
3,V31,N1,P1,53.96
1,V31,N2,P0,60.23
2,V31,N2,P0,61.93
3,V31,N2,P0,58.63
1,V31,N2,P1,75.76
2,V31,N2,P1,66.48
3,V31,N2,P1,64.83
1,V32,N0,P0,45.59
2,V32,N0,P0,57.05
3,V32,N0,P0,54.11
1,V32,N0,P1,63.62
2,V32,N0,P1,64.8
3,V32,N0,P1,59.88
1,V32,N1,P0,74.38
2,V32,N1,P0,66.27
3,V32,N1,P0,66.2
1,V32,N1,P1,79.36
2,V32,N1,P1,78.5
3,V32,N1,P1,77.6
1,V32,N2,P0,77.05
2,V32,N2,P0,81.47
3,V32,N2,P0,86.41
1,V32,N2,P1,96.53
2,V32,N2,P1,97.39
3,V32,N2,P1,90.03
1,V33,N0,P0,33.43
2,V33,N0,P0,36.45
3,V33,N0,P0,37.09
1,V33,N0,P1,52.72
2,V33,N0,P1,42.97
3,V33,N0,P1,54.25
1,V33,N1,P0,50.34
2,V33,N1,P0,49.4
3,V33,N1,P0,47.35
1,V33,N1,P1,56.1
2,V33,N1,P1,64.77
3,V33,N1,P1,62.15
1,V33,N2,P0,57.38
2,V33,N2,P0,57.36
3,V33,N2,P0,60.72
1,V33,N2,P1,79.73
2,V33,N2,P1,72.98
3,V33,N2,P1,68.63
1,V34,N0,P0,27.68
2,V34,N0,P0,27.58
3,V34,N0,P0,19.1
1,V34,N0,P1,40.35
2,V34,N0,P1,39.73
3,V34,N0,P1,42.98
1,V34,N1,P0,49.01
2,V34,N1,P0,46.48
3,V34,N1,P0,41.6
1,V34,N1,P1,49.67
2,V34,N1,P1,62.55
3,V34,N1,P1,53.75
1,V34,N2,P0,53.59
2,V34,N2,P0,53.45
3,V34,N2,P0,54.23
1,V34,N2,P1,65.03
2,V34,N2,P1,63.53
3,V34,N2,P1,63.62
1,V35,N0,P0,43.47
2,V35,N0,P0,41.68
3,V35,N0,P0,41.09
1,V35,N0,P1,55.95
2,V35,N0,P1,54.69
3,V35,N0,P1,60.84
1,V35,N1,P0,48.3
2,V35,N1,P0,61.4
3,V35,N1,P0,61.94
1,V35,N1,P1,61.32
2,V35,N1,P1,67.38
3,V35,N1,P1,67.28
1,V35,N2,P0,66.65
2,V35,N2,P0,68.86
3,V35,N2,P0,67.69
1,V35,N2,P1,89.71
2,V35,N2,P1,86.86
3,V35,N2,P1,88.03
1,V36,N0,P0,29.76
2,V36,N0,P0,23.28
3,V36,N0,P0,25.4
1,V36,N0,P1,40.95
2,V36,N0,P1,34.96
3,V36,N0,P1,41.73
1,V36,N1,P0,40.39
2,V36,N1,P0,39.92
3,V36,N1,P0,43.72
1,V36,N1,P1,53.79
2,V36,N1,P1,50.97
3,V36,N1,P1,56.29
1,V36,N2,P0,48.45
2,V36,N2,P0,54.39
3,V36,N2,P0,54.31
1,V36,N2,P1,63.15
2,V36,N2,P1,65.37
3,V36,N2,P1,59.85
1,V37,N0,P0,41.91
2,V37,N0,P0,38.02
3,V37,N0,P0,36.84
1,V37,N0,P1,54.34
2,V37,N0,P1,48.21
3,V37,N0,P1,45.74
1,V37,N1,P0,47.22
2,V37,N1,P0,54.79
3,V37,N1,P0,48.19
1,V37,N1,P1,69.81
2,V37,N1,P1,56.38
3,V37,N1,P1,69.61
1,V37,N2,P0,64.41
2,V37,N2,P0,63.33
3,V37,N2,P0,61.76
1,V37,N2,P1,77.07
2,V37,N2,P1,75.54
3,V37,N2,P1,79.53
1,V38,N0,P0,21.72
2,V38,N0,P0,21.85
3,V38,N0,P0,20.05
1,V38,N0,P1,33.12
2,V38,N0,P1,34.4
3,V38,N0,P1,27.34
1,V38,N1,P0,30.6
2,V38,N1,P0,37.92
3,V38,N1,P0,35.92
1,V38,N1,P1,45.68
2,V38,N1,P1,46.39
3,V38,N1,P1,47.54
1,V38,N2,P0,44.43
2,V38,N2,P0,43.6
3,V38,N2,P0,47.01
1,V38,N2,P1,54.9
2,V38,N2,P1,59.75
3,V38,N2,P1,52.36
1,V39,N0,P0,29.98
2,V39,N0,P0,28.03
3,V39,N0,P0,27.27
1,V39,N0,P1,41.81
2,V39,N0,P1,44.2
3,V39,N0,P1,41.92
1,V39,N1,P0,33.93
2,V39,N1,P0,35.9
3,V39,N1,P0,38.19
1,V39,N1,P1,51.47
2,V39,N1,P1,53.19
3,V39,N1,P1,48.83
1,V39,N2,P0,52.03
2,V39,N2,P0,48.73
3,V39,N2,P0,49.23
1,V39,N2,P1,58.45
2,V39,N2,P1,60.14
3,V39,N2,P1,58.64
1,V40,N0,P0,35.16
2,V40,N0,P0,42.26
3,V40,N0,P0,35.25
1,V40,N0,P1,59.79
2,V40,N0,P1,52.3
3,V40,N0,P1,51.22
1,V40,N1,P0,49.57
2,V40,N1,P0,55.03
3,V40,N1,P0,50.56
1,V40,N1,P1,64.0
2,V40,N1,P1,72.54
3,V40,N1,P1,63.24
1,V40,N2,P0,67.6
2,V40,N2,P0,61.11
3,V40,N2,P0,63.45
1,V40,N2,P1,81.77
2,V40,N2,P1,73.38
3,V40,N2,P1,81.92
1,V41,N0,P0,45.38
2,V41,N0,P0,40.94
3,V41,N0,P0,45.12
1,V41,N0,P1,58.31
2,V41,N0,P1,57.08
3,V41,N0,P1,49.41
1,V41,N1,P0,54.36
2,V41,N1,P0,56.04
3,V41,N1,P0,56.65
1,V41,N1,P1,70.08
2,V41,N1,P1,68.53
3,V41,N1,P1,63.23
1,V41,N2,P0,72.24
2,V41,N2,P0,73.04
3,V41,N2,P0,72.87
1,V41,N2,P1,86.69
2,V41,N2,P1,85.83
3,V41,N2,P1,84.51
1,V42,N0,P0,38.13
2,V42,N0,P0,32.56
3,V42,N0,P0,39.87
1,V42,N0,P1,51.1
2,V42,N0,P1,51.32
3,V42,N0,P1,45.9
1,V42,N1,P0,48.59
2,V42,N1,P0,56.06
3,V42,N1,P0,52.23
1,V42,N1,P1,65.76
2,V42,N1,P1,63.47
3,V42,N1,P1,63.48
1,V42,N2,P0,66.65
2,V42,N2,P0,61.56
3,V42,N2,P0,63.71
1,V42,N2,P1,73.75
2,V42,N2,P1,73.85
3,V42,N2,P1,74.29
1,V43,N0,P0,36.85
2,V43,N0,P0,34.4
3,V43,N0,P0,40.47
1,V43,N0,P1,44.94
2,V43,N0,P1,47.42
3,V43,N0,P1,46.54
1,V43,N1,P0,55.14
2,V43,N1,P0,50.76
3,V43,N1,P0,53.69
1,V43,N1,P1,55.88
2,V43,N1,P1,62.01
3,V43,N1,P1,64.19
1,V43,N2,P0,61.36
2,V43,N2,P0,64.8
3,V43,N2,P0,59.26
1,V43,N2,P1,78.01
2,V43,N2,P1,81.12
3,V43,N2,P1,71.8
1,V44,N0,P0,33.03
2,V44,N0,P0,39.68
3,V44,N0,P0,40.12
1,V44,N0,P1,44.76
2,V44,N0,P1,45.12
3,V44,N0,P1,45.6
1,V44,N1,P0,43.89
2,V44,N1,P0,45.38
3,V44,N1,P0,45.08
1,V44,N1,P1,56.9
2,V44,N1,P1,59.47
3,V44,N1,P1,60.41
1,V44,N2,P0,65.02
2,V44,N2,P0,56.1
3,V44,N2,P0,63.04
1,V44,N2,P1,70.84
2,V44,N2,P1,71.42
3,V44,N2,P1,73.95
1,V45,N0,P0,21.24
2,V45,N0,P0,26.51
3,V45,N0,P0,25.75
1,V45,N0,P1,38.9
2,V45,N0,P1,38.18
3,V45,N0,P1,45.77
1,V45,N1,P0,36.94
2,V45,N1,P0,37.31
3,V45,N1,P0,36.99
1,V45,N1,P1,48.23
2,V45,N1,P1,47.94
3,V45,N1,P1,54.33
1,V45,N2,P0,55.14
2,V45,N2,P0,48.17
3,V45,N2,P0,47.26
1,V45,N2,P1,63.82
2,V45,N2,P1,60.24
3,V45,N2,P1,64.39
1,V46,N0,P0,31.95
2,V46,N0,P0,25.94
3,V46,N0,P0,36.66
1,V46,N0,P1,49.53
2,V46,N0,P1,41.1
3,V46,N0,P1,41.88
1,V46,N1,P0,46.24
2,V46,N1,P0,46.41
3,V46,N1,P0,47.55
1,V46,N1,P1,63.28
2,V46,N1,P1,55.62
3,V46,N1,P1,53.45
1,V46,N2,P0,51.41
2,V46,N2,P0,53.68
3,V46,N2,P0,56.13
1,V46,N2,P1,74.52
2,V46,N2,P1,66.43
3,V46,N2,P1,69.02
1,V47,N0,P0,33.26
2,V47,N0,P0,37.47
3,V47,N0,P0,42.16
1,V47,N0,P1,43.46
2,V47,N0,P1,43.6
3,V47,N0,P1,48.97
1,V47,N1,P0,49.7
2,V47,N1,P0,53.78
3,V47,N1,P0,49.36
1,V47,N1,P1,57.06
2,V47,N1,P1,60.38
3,V47,N1,P1,62.2
1,V47,N2,P0,61.19
2,V47,N2,P0,60.09
3,V47,N2,P0,62.05
1,V47,N2,P1,74.41
2,V47,N2,P1,75.15
3,V47,N2,P1,72.59
1,V48,N0,P0,44.87
2,V48,N0,P0,45.97
3,V48,N0,P0,49.68
1,V48,N0,P1,54.6
2,V48,N0,P1,58.75
3,V48,N0,P1,56.08
1,V48,N1,P0,59.56
2,V48,N1,P0,63.93
3,V48,N1,P0,60.13
1,V48,N1,P1,70.62
2,V48,N1,P1,65.7
3,V48,N1,P1,73.07
1,V48,N2,P0,75.72
2,V48,N2,P0,81.03
3,V48,N2,P0,72.38
1,V48,N2,P1,86.22
2,V48,N2,P1,86.33
3,V48,N2,P1,90.98
1,V49,N0,P0,39.42
2,V49,N0,P0,40.73
3,V49,N0,P0,41.88
1,V49,N0,P1,52.4
2,V49,N0,P1,50.19
3,V49,N0,P1,52.43
1,V49,N1,P0,57.51
2,V49,N1,P0,50.16
3,V49,N1,P0,54.21
1,V49,N1,P1,62.3
2,V49,N1,P1,68.93
3,V49,N1,P1,59.42
1,V49,N2,P0,62.79
2,V49,N2,P0,66.07
3,V49,N2,P0,70.23
1,V49,N2,P1,76.52
2,V49,N2,P1,74.81
3,V49,N2,P1,83.33
1,V50,N0,P0,17.83
2,V50,N0,P0,15.2
3,V50,N0,P0,24.44
1,V50,N0,P1,33.14
2,V50,N0,P1,31.32
3,V50,N0,P1,37.37
1,V50,N1,P0,37.75
2,V50,N1,P0,34.92
3,V50,N1,P0,32.41
1,V50,N1,P1,50.95
2,V50,N1,P1,50.17
3,V50,N1,P1,47.55
1,V50,N2,P0,54.36
2,V50,N2,P0,44.15
3,V50,N2,P0,42.56
1,V50,N2,P1,57.47
2,V50,N2,P1,59.74
3,V50,N2,P1,60.75
