Parent1,Parent2,Replication,Trait
9,15,1,11.83099268
10,15,1,9.769584951
11,15,1,9.933542376
12,15,1,15.78915692
13,15,1,15.52525638
14,15,1,14.43417459
1,16,1,18.73789667
2,16,1,19.83500545
3,16,1,17.73190672
4,16,1,19.59410068
5,16,1,20.58854328
6,16,1,25.07113238
7,16,1,20.3050635
8,16,1,19.91436792
9,16,1,18.14564294
10,16,1,19.0013212
11,16,1,15.56003976
12,16,1,20.53860493
13,16,1,20.07038895
14,16,1,21.34741545
15,16,1,14.08753607
1,17,1,19.95113776
2,17,1,18.99578104
3,17,1,19.23032306
4,17,1,14.92195949
5,17,1,22.0435281
6,17,1,23.66258284
7,17,1,19.23759871
8,17,1,19.68322031
9,17,1,16.58037022
10,17,1,19.91035171
11,17,1,13.97478589
12,17,1,15.20339889
13,17,1,24.1406063
14,17,1,17.76555713
15,17,1,8.990467926
16,17,1,18.89121684
1,18,1,24.95876426
2,18,1,19.54281183
3,18,1,21.66636764
4,18,1,19.92792183
5,18,1,20.82864637
6,18,1,20.8911576
7,18,1,21.87660846
8,18,1,21.47243885
9,18,1,15.76043918
10,18,1,17.75278418
11,18,1,18.17575275
12,18,1,20.90114964
13,18,1,21.40419525
14,18,1,18.5824328
15,18,1,17.73248386
16,18,1,18.90760153
17,18,1,19.68980296
1,19,1,20.46022809
2,19,1,19.61730326
3,19,1,13.6502459
4,19,1,13.1390883
5,19,1,18.78170816
6,19,1,21.68918395
7,19,1,18.83281222
8,19,1,19.76026062
9,19,1,14.71440788
10,19,1,12.18755157
11,19,1,6.487216285
12,19,1,18.82445255
13,19,1,16.68724826
14,19,1,17.23954354
15,19,1,11.52592272
16,19,1,13.62109665
17,19,1,15.43559451
18,19,1,20.0648046
1,20,1,21.09378134
2,20,1,15.71175114
3,20,1,14.91550682
4,20,1,15.6502257
5,20,1,20.02147968
6,20,1,19.27101112
7,20,1,18.46931565
8,20,1,15.00185413
9,20,1,13.83949327
10,20,1,15.83287403
11,20,1,10.04592443
12,20,1,19.70729268
13,20,1,16.59820696
14,20,1,17.55936344
15,20,1,12.21814026
16,20,1,19.53239712
17,20,1,12.23241621
18,20,1,16.77394021
19,20,1,8.32556504
1,21,1,25.02062369
2,21,1,24.36130603
3,21,1,24.74951427
4,21,1,23.56004963
5,21,1,19.79601987
6,21,1,25.13737518
7,21,1,20.76436488
8,21,1,23.95692053
9,21,1,15.53740133
10,21,1,21.86952617
11,21,1,24.07745611
12,21,1,22.28905446
13,21,1,24.83422584
14,21,1,24.81640581
15,21,1,13.17930789
16,21,1,17.65170206
17,21,1,22.26174902
18,21,1,19.28114282
19,21,1,17.93900218
20,21,1,18.45742352
1,22,1,22.65618418
2,22,1,21.43192156
3,22,1,19.10712967
4,22,1,22.92011783
5,22,1,22.87500878
6,22,1,23.96985512
7,22,1,18.68791888
8,22,1,18.53053153
9,22,1,19.79571482
10,22,1,18.94564008
11,22,1,17.73126605
12,22,1,20.68131528
13,22,1,23.66026345
14,22,1,21.26568561
15,22,1,14.15369242
16,22,1,15.20634539
17,22,1,20.60459258
18,22,1,20.84148115
19,22,1,16.55706696
20,22,1,16.89842225
21,22,1,22.03575836
1,23,1,24.11260208
2,23,1,20.4661372
3,23,1,21.9644364
4,23,1,21.40265394
5,23,1,21.44863103
6,23,1,26.12587607
7,23,1,21.92704627
8,23,1,26.33581906
9,23,1,23.63348669
10,23,1,17.28436283
11,23,1,21.47164455
12,23,1,29.55386982
13,23,1,23.34928005
14,23,1,23.36265972
15,23,1,18.01443227
16,23,1,21.21688241
17,23,1,18.0693064
18,23,1,19.98698317
19,23,1,18.63927378
20,23,1,20.67765061
21,23,1,23.04471944
22,23,1,20.02807342
1,24,1,22.50088467
2,24,1,22.1028821
3,24,1,17.14151398
4,24,1,17.01101666
5,24,1,19.37706943
6,24,1,21.71155547
7,24,1,20.61269887
8,24,1,22.25183344
9,24,1,13.30915571
10,24,1,16.7956497
11,24,1,15.55353836
12,24,1,26.84244744
13,24,1,19.16620985
14,24,1,19.10681223
15,24,1,14.47117222
16,24,1,22.05085829
17,24,1,17.3295611
18,24,1,16.59852107
19,24,1,14.72304008
20,24,1,20.03265817
21,24,1,20.05429347
22,24,1,19.30992469
23,24,1,23.43180185
1,25,1,19.85861956
2,25,1,21.73418694
3,25,1,17.68159248
4,25,1,21.03825945
5,25,1,25.38491035
6,25,1,21.32580148
7,25,1,22.83942389
8,25,1,19.59235451
9,25,1,19.75567812
10,25,1,17.91271009
11,25,1,17.94844203
12,25,1,19.53932971
13,25,1,24.17256404
14,25,1,18.5459027
15,25,1,14.50019674
16,25,1,17.15173325
17,25,1,21.03500842
18,25,1,21.6202288
19,25,1,17.64706417
20,25,1,19.58556475
21,25,1,21.42355484
22,25,1,21.47071461
23,25,1,19.97730081
24,25,1,21.0693775
1,1,2,20.27777508
2,2,2,21.66351895
3,3,2,20.27865586
4,4,2,17.85520549
5,5,2,21.69945013
6,6,2,23.18122685
7,7,2,22.75803503
8,8,2,19.48291212
9,9,2,22.39731414
10,10,2,16.05253048
11,11,2,13.31299883
12,12,2,23.57632553
13,13,2,22.82044822
14,14,2,19.35448141
15,15,2,5.077757297
16,16,2,17.68417923
17,17,2,15.77223529
18,18,2,24.06475895
19,19,2,17.92389559
20,20,2,12.07084224
21,21,2,23.10454032
22,22,2,20.8546922
23,23,2,28.34592536
24,24,2,23.41207257
25,25,2,20.75736212
1,2,2,20.31394032
1,3,2,23.16536491
2,3,2,19.6055277
1,4,2,18.34335248
2,4,2,18.64920252
3,4,2,15.55231371
1,5,2,25.3002307
2,5,2,21.84160591
3,5,2,24.38303475
4,5,2,23.04413162
1,6,2,25.4549336
2,6,2,23.63907205
3,6,2,23.25541902
4,6,2,23.07454731
5,6,2,30.12409655
1,7,2,22.14976904
2,7,2,19.22973754
3,7,2,25.31109121
4,7,2,22.30896353
5,7,2,21.29117798
6,7,2,26.73156261
1,8,2,17.99691508
2,8,2,19.85013966
3,8,2,19.56430848
4,8,2,17.73232212
5,8,2,23.62443984
6,8,2,25.65255391
7,8,2,23.78938142
1,9,2,20.0209092
2,9,2,18.24341931
3,9,2,13.79983429
4,9,2,20.4521587
5,9,2,18.22525313
6,9,2,18.24925471
7,9,2,15.53697242
8,9,2,17.9045295
1,10,2,21.66427632
2,10,2,19.22108872
3,10,2,20.62989529
4,10,2,15.89236351
5,10,2,18.33269649
6,10,2,17.10103536
7,10,2,19.66731927
8,10,2,17.04821608
9,10,2,13.4465006
1,11,2,16.30463026
2,11,2,15.80774872
3,11,2,14.35179408
4,11,2,18.27651239
5,11,2,19.53327864
6,11,2,21.45604215
7,11,2,19.5259196
8,11,2,21.51002471
9,11,2,14.2938366
10,11,2,15.10608762
1,12,2,22.54822261
2,12,2,21.43958171
3,12,2,22.43123599
4,12,2,17.44648105
5,12,2,26.61543916
6,12,2,19.98332746
7,12,2,23.05073655
8,12,2,16.19542517
9,12,2,18.04124259
10,12,2,14.06286114
11,12,2,13.8084899
1,13,2,25.18625034
2,13,2,23.77480753
3,13,2,15.29801485
4,13,2,21.78548227
5,13,2,22.70399676
6,13,2,25.33814868
7,13,2,20.3496636
8,13,2,21.1313184
9,13,2,17.65003757
10,13,2,21.2103533
11,13,2,14.6480824
12,13,2,19.11310906
1,14,2,22.88775439
2,14,2,23.55943851
3,14,2,19.5025078
4,14,2,23.09168013
5,14,2,21.78678754
6,14,2,22.08701197
7,14,2,24.21849077
8,14,2,17.44222349
9,14,2,13.38962416
10,14,2,18.97019569
11,14,2,18.73586444
12,14,2,20.59900075
13,14,2,24.12571681
1,15,2,12.41821015
2,15,2,16.55852734
3,15,2,16.26660165
4,15,2,12.20551376
5,15,2,22.80706213
6,15,2,20.17280822
7,15,2,16.97372481
8,15,2,12.54195009
9,15,2,14.62383328
10,15,2,9.478784634
11,15,2,9.659386495
12,15,2,19.46874981
13,15,2,15.79709281
14,15,2,10.57737094
1,16,2,20.47555962
2,16,2,18.86695997
3,16,2,18.04345998
4,16,2,18.92423591
5,16,2,25.24356395
6,16,2,23.20181568
7,16,2,22.7417843
8,16,2,18.92357712
9,16,2,16.91458115
10,16,2,17.21492395
11,16,2,15.34252423
12,16,2,21.81002048
13,16,2,17.19629136
14,16,2,20.36553958
15,16,2,15.49686967
1,17,2,17.71052413
2,17,2,19.14076038
3,17,2,17.15672273
4,17,2,19.23072043
5,17,2,19.63363763
6,17,2,24.53317035
7,17,2,20.11544987
8,17,2,17.65489445
9,17,2,14.26789818
10,17,2,13.39033132
11,17,2,16.08228723
12,17,2,16.73214942
13,17,2,20.28198923
14,17,2,19.6482297
15,17,2,9.386145963
16,17,2,19.45753412
1,18,2,23.00062582
2,18,2,18.80254159
3,18,2,22.39921425
4,18,2,19.2361429
5,18,2,19.30152259
6,18,2,26.54486892
7,18,2,27.02263585
8,18,2,18.32047383
9,18,2,21.92850016
10,18,2,22.6099409
11,18,2,21.37517848
12,18,2,23.39951366
13,18,2,30.08446973
14,18,2,17.50940806
15,18,2,15.02348211
16,18,2,21.24342685
17,18,2,21.42446464
1,19,2,18.27837621
2,19,2,15.72170935
3,19,2,16.23725013
4,19,2,18.52236673
5,19,2,17.6831871
6,19,2,19.7064055
7,19,2,17.40268216
8,19,2,13.43620075
9,19,2,12.19576376
10,19,2,12.62959775
11,19,2,10.6071308
12,19,2,19.30620828
13,19,2,18.24065326
14,19,2,20.51794187
15,19,2,10.64354493
16,19,2,14.29492175
17,19,2,16.29755924
18,19,2,19.10596686
1,20,2,21.17815532
2,20,2,16.67560269
3,20,2,13.98048614
4,20,2,18.81780905
5,20,2,22.74519296
6,20,2,17.23094576
7,20,2,18.08626536
8,20,2,15.43365171
9,20,2,13.02297317
10,20,2,16.9795085
11,20,2,9.579963568
12,20,2,15.88213456
13,20,2,17.64759914
14,20,2,17.83459008
15,20,2,10.68990083
16,20,2,16.52874712
17,20,2,16.35695502
18,20,2,18.2642819
19,20,2,13.52609226
1,21,2,23.70019838
2,21,2,27.42515834
3,21,2,22.62600228
4,21,2,21.14570975
5,21,2,25.49241107
6,21,2,23.34883009
7,21,2,22.9507656
8,21,2,26.91707363
9,21,2,21.02621542
10,21,2,20.29059932
11,21,2,21.95524729
12,21,2,22.23979985
13,21,2,22.01036149
14,21,2,22.95662722
15,21,2,18.03880239
16,21,2,20.09495467
17,21,2,19.27318928
18,21,2,22.52212603
19,21,2,19.80558827
20,21,2,20.70104931
1,22,2,22.1415115
2,22,2,20.67613172
3,22,2,18.65664268
4,22,2,20.55348171
5,22,2,19.72335508
6,22,2,22.50189405
7,22,2,22.39453288
8,22,2,21.67492691
9,22,2,18.86111776
10,22,2,20.2974436
11,22,2,18.73818054
12,22,2,22.55387209
13,22,2,22.69492368
14,22,2,20.37251674
15,22,2,13.73728897
16,22,2,19.6060998
17,22,2,14.72176336
18,22,2,21.26830808
19,22,2,18.23193032
20,22,2,19.52036728
21,22,2,22.40203321
1,23,2,26.55713471
2,23,2,22.12177736
3,23,2,23.89432778
4,23,2,26.75270391
5,23,2,24.32639642
6,23,2,26.43991543
7,23,2,23.59489559
8,23,2,21.44790448
9,23,2,21.30776932
10,23,2,17.30632565
11,23,2,22.21892148
12,23,2,23.19772402
13,23,2,22.52647295
14,23,2,23.83168901
15,23,2,18.87694092
16,23,2,23.27048226
17,23,2,19.55403074
18,23,2,19.54090007
19,23,2,20.25603293
20,23,2,22.26531615
21,23,2,26.55141325
22,23,2,18.46275537
1,24,2,24.00784733
2,24,2,20.97935763
3,24,2,16.73508939
4,24,2,19.76452306
5,24,2,22.38671146
6,24,2,22.49772567
7,24,2,24.18165422
8,24,2,21.88891426
9,24,2,13.90207264
10,24,2,16.8539453
11,24,2,11.34837334
12,24,2,23.08511105
13,24,2,20.04501508
14,24,2,19.40456049
15,24,2,13.78782572
16,24,2,16.95108349
17,24,2,13.72626225
18,24,2,21.17224325
19,24,2,15.46373528
20,24,2,13.8828256
21,24,2,20.49162133
22,24,2,24.41773226
23,24,2,21.89817606
1,25,2,22.02053643
2,25,2,24.8755978
3,25,2,16.55451091
4,25,2,15.93970447
5,25,2,20.43170203
6,25,2,23.07963681
7,25,2,22.78601002
8,25,2,16.50837957
9,25,2,17.01251663
10,25,2,17.37416157
11,25,2,19.16757656
12,25,2,15.30405491
13,25,2,20.71054426
14,25,2,21.26297548
15,25,2,11.58270131
16,25,2,20.19983888
17,25,2,18.66788798
18,25,2,19.35488271
19,25,2,19.6068918
20,25,2,20.68796677
21,25,2,17.71199925
22,25,2,21.10513359
23,25,2,18.66378071
24,25,2,23.4655123
1,1,3,21.97210235
2,2,3,20.73424484
3,3,3,18.58468881
4,4,3,15.93769437
5,5,3,24.12421841
6,6,3,21.9684301
7,7,3,19.99565173
8,8,3,16.089041
9,9,3,17.33483259
10,10,3,13.65746638
11,11,3,14.77704483
12,12,3,23.55497107
13,13,3,20.50310353
14,14,3,19.94816178
15,15,3,2.741858381
16,16,3,16.86745559
17,17,3,17.86219648
18,18,3,20.99789902
19,19,3,12.8815706
20,20,3,10.92296006
21,21,3,24.54147135
22,22,3,20.7676708
23,23,3,21.48353711
24,24,3,19.42659748
25,25,3,23.797092
1,2,3,21.81400626
1,3,3,18.75604457
2,3,3,23.45737014
1,4,3,23.71341966
2,4,3,19.13961153
3,4,3,16.14468672
1,5,3,23.36609566
2,5,3,23.68194055
3,5,3,21.12048148
4,5,3,19.70305613
1,6,3,25.34739672
2,6,3,27.56594563
3,6,3,20.40777819
4,6,3,24.53143149
5,6,3,26.76083345
1,7,3,19.07315051
2,7,3,21.72229786
3,7,3,21.88882937
4,7,3,20.56045206
5,7,3,21.21362949
6,7,3,27.15615475
1,8,3,21.39010962
2,8,3,18.49534142
3,8,3,16.36866446
4,8,3,18.76589782
5,8,3,22.88886457
6,8,3,24.54176903
7,8,3,21.52401888
1,9,3,17.70519306
2,9,3,23.02210999
3,9,3,15.20817763
4,9,3,19.40465338
5,9,3,19.58151239
6,9,3,19.53621559
7,9,3,20.82218021
8,9,3,19.06413001
1,10,3,19.36612764
2,10,3,16.46035303
3,10,3,13.66950644
4,10,3,13.9840808
5,10,3,19.77028548
6,10,3,18.90398664
7,10,3,18.23256157
8,10,3,17.84210508
9,10,3,18.77963459
1,11,3,12.45591328
2,11,3,15.23136511
3,11,3,17.353772
4,11,3,17.10203018
5,11,3,23.07448841
6,11,3,23.33439102
7,11,3,17.87699735
8,11,3,17.68434624
9,11,3,15.81885498
10,11,3,11.24590846
1,12,3,26.43204623
2,12,3,21.96611413
3,12,3,23.72004928
4,12,3,20.18612392
5,12,3,21.90188576
6,12,3,25.12273068
7,12,3,22.35483175
8,12,3,19.42702635
9,12,3,20.58737895
10,12,3,18.70309682
11,12,3,12.06493348
1,13,3,28.07021947
2,13,3,22.21128374
3,13,3,21.27142066
4,13,3,20.49863664
5,13,3,22.74543714
6,13,3,22.8162555
7,13,3,18.67217128
8,13,3,21.61576525
9,13,3,14.6363705
10,13,3,20.4950647
11,13,3,17.6137812
12,13,3,19.7694389
1,14,3,20.23244084
2,14,3,21.054577
3,14,3,21.4418136
4,14,3,25.34975858
5,14,3,21.36389495
6,14,3,23.15555808
7,14,3,22.5889785
8,14,3,19.58330118
9,14,3,16.67882745
10,14,3,17.65884901
11,14,3,19.61527292
12,14,3,20.36924661
13,14,3,20.60746145
1,15,3,13.01376332
2,15,3,16.49236802
3,15,3,14.48795191
4,15,3,13.92528603
5,15,3,17.1047632
6,15,3,17.88038647
7,15,3,14.59742521
8,15,3,13.90158734
9,15,3,15.33432584
10,15,3,11.08072336
11,15,3,11.94650689
12,15,3,15.38325364
13,15,3,19.51874781
14,15,3,12.22045183
1,16,3,18.72925918
2,16,3,20.56446344
3,16,3,19.59503006
4,16,3,20.57591613
5,16,3,20.75303941
6,16,3,26.93174372
7,16,3,20.50334848
8,16,3,18.13176946
9,16,3,20.30927551
10,16,3,16.6983283
11,16,3,14.62993524
12,16,3,18.42004086
13,16,3,19.94482204
14,16,3,25.68250034
15,16,3,12.6352627
1,17,3,17.0692305
2,17,3,22.86843422
3,17,3,18.03210698
4,17,3,15.04806441
5,17,3,21.35525964
6,17,3,21.3151198
7,17,3,22.20728211
8,17,3,17.19707871
9,17,3,19.4684587
10,17,3,15.03499694
11,17,3,14.53779892
12,17,3,19.68772657
13,17,3,20.79757102
14,17,3,17.45416752
15,17,3,10.13490926
16,17,3,19.49670483
1,18,3,25.37879385
2,18,3,21.39572037
3,18,3,20.07413917
4,18,3,18.55722022
5,18,3,22.4201426
6,18,3,17.19769677
7,18,3,22.34267503
8,18,3,22.81280569
9,18,3,22.40963523
10,18,3,22.1947356
11,18,3,19.97417246
12,18,3,21.39779797
13,18,3,27.67422018
14,18,3,21.17452066
15,18,3,15.47041069
16,18,3,21.02520845
17,18,3,20.19250461
1,19,3,20.66570692
2,19,3,17.41582996
3,19,3,16.43372
4,19,3,20.36494509
5,19,3,18.93285649
6,19,3,19.49665666
7,19,3,19.45193746
8,19,3,18.17011622
9,19,3,12.72040315
10,19,3,16.80682462
11,19,3,10.31343044
12,19,3,18.48853658
13,19,3,20.96034293
14,19,3,17.53606641
15,19,3,13.21085152
16,19,3,17.11572071
17,19,3,18.88770653
18,19,3,16.82385334
1,20,3,19.46241704
2,20,3,14.77343266
3,20,3,13.65908758
4,20,3,15.46800831
5,20,3,16.34385773
6,20,3,20.0117969
7,20,3,14.33772481
8,20,3,17.50071042
9,20,3,12.35705656
10,20,3,14.46991866
11,20,3,11.4225927
12,20,3,16.85028022
13,20,3,18.48558977
14,20,3,17.54247726
15,20,3,10.54082651
16,20,3,16.9798481
17,20,3,12.44013241
18,20,3,16.81168527
19,20,3,16.76319515
1,21,3,25.41292372
2,21,3,26.21977879
3,21,3,22.91426845
4,21,3,20.38062371
5,21,3,21.29046119
6,21,3,31.39962271
7,21,3,23.25097514
8,21,3,20.36642852
9,21,3,17.65153442
10,21,3,19.80200146
11,21,3,24.51751118
12,21,3,23.85609853
13,21,3,25.76849471
14,21,3,22.24325358
15,21,3,16.65661966
16,21,3,21.36999189
17,21,3,20.81622221
18,21,3,22.77173826
19,21,3,20.10074105
20,21,3,16.98896175
1,22,3,20.51839648
2,22,3,20.36179273
3,22,3,19.59587985
4,22,3,17.64803606
5,22,3,16.77143257
6,22,3,27.34627158
7,22,3,21.93827766
8,22,3,22.93519489
9,22,3,20.21731368
10,22,3,17.99765424
11,22,3,18.17470235
12,22,3,18.94160739
13,22,3,17.2375721
14,22,3,20.31157791
15,22,3,15.37148235
16,22,3,21.29069551
17,22,3,20.15923789
18,22,3,15.18659132
19,22,3,16.12802868
20,22,3,14.51204539
21,22,3,23.50052972
1,23,3,26.77253565
2,23,3,24.21501395
3,23,3,22.50367435
4,23,3,21.77957386
5,23,3,21.6143953
6,23,3,22.35936199
7,23,3,20.29063517
8,23,3,19.82766812
9,23,3,22.59501633
10,23,3,21.36601823
11,23,3,18.80816923
12,23,3,23.7880531
13,23,3,22.5571826
14,23,3,24.9968302
15,23,3,16.24268033
16,23,3,24.65271178
17,23,3,23.62917726
18,23,3,23.48771184
19,23,3,19.16525201
20,23,3,21.71311319
21,23,3,23.04505083
22,23,3,23.30936443
1,24,3,21.41880557
2,24,3,20.23218355
3,24,3,19.24246512
4,24,3,16.47664949
5,24,3,25.09390475
6,24,3,20.9706303
7,24,3,26.70625931
8,24,3,22.45820407
9,24,3,19.55255231
10,24,3,11.40491567
11,24,3,14.40124927
12,24,3,25.31546332
13,24,3,20.79739375
14,24,3,15.17772591
15,24,3,14.38344988
16,24,3,18.47692435
17,24,3,17.74297515
18,24,3,23.30759567
19,24,3,17.71046849
20,24,3,13.5925433
21,24,3,21.99462277
22,24,3,22.10291919
23,24,3,23.30962602
1,25,3,23.52641841
2,25,3,21.83397332
3,25,3,22.72205667
4,25,3,20.77909777
5,25,3,24.6711428
6,25,3,24.52931226
7,25,3,27.38839068
8,25,3,22.4196723
9,25,3,20.37001909
10,25,3,17.63052604
11,25,3,18.84987491
12,25,3,22.01141621
13,25,3,22.69282692
14,25,3,21.78401887
15,25,3,13.77214665
16,25,3,16.98978994
17,25,3,20.83508653
18,25,3,21.63597917
19,25,3,15.85043208
20,25,3,19.28086099
21,25,3,23.19430884
22,25,3,20.26624478
23,25,3,21.39644198
24,25,3,19.25843
